Id,Date,Title,Description
485,"March 05, 2020, Thursday",Access to funding improves for NBFCs but not yet at pre-IL&FS level,Debt capital markets continue to shy away from the shadow banking sector
486,"March 05, 2020, Thursday","Yes Bank put under moratorium, withdrawals capped at Rs 50,000","The RBI removed Yes Bank's board and appointed Prashant Kumar, a former chief financial officer of the State Bank of India (SBI), ..."
487,"March 05, 2020, Thursday","RBI imposes moratorium on Yes Bank, caps withdrawals at Rs 50,000","Earlier in the day, sources said SBI along with some other financial institutions would bail out capital-starved Yes Bank, with ..."
488,"March 05, 2020, Thursday",Taxpayers will be 'big casualty' if govt bails out Yes Bank: Macquarie,"Over the past few months, YES Bank has struggled to raise capital - nearly $2 billion - it desperately needs to stay above ..."
489,"March 05, 2020, Thursday",RBI Deputy Governor Vishwanathan to quit by Mar 31 over health issues,"While the Reserve Bank has accepted his request to be relieved by March 31, the same has to be accepted by the Cabinet as well, ..."
490,"March 05, 2020, Thursday","Non-bank lenders defying caution, growing riskier unsecured loans: Report","The troubled non-bank lenders' segment is ""defying caution"" and growing the riskier unsecured loans portfolio at a pace of 25 per ..."
491,"March 05, 2020, Thursday",HSBC files winding up plea in Singapore court against IL&FS subsidiary,"As per a notice published in Singapore's government gazette on March 3, HSBC filed its application for winding up of ITNL ..."
492,"March 05, 2020, Thursday",Bombay HC dismisses Chanda Kochhar's writ petition against ICICI Bank,Court accepts the bank's stance that Kochhar's petition has no legal basis as the lender is a private banking company and the ...
493,"March 05, 2020, Thursday",Bombay HC rejects Kochhar's plea against her termination from ICICI Bank,ICICI Bank sought dismissal of Kochhar's petition
494,"March 05, 2020, Thursday",Govt approves plan for SBI-led consortium to buy stake in YES Bank: Reports,SBI has also been authorised to pick other members of the consortium
495,"March 05, 2020, Thursday","Merger of 10 banks into 4 to come into effect from Apr 1, says Sitharaman",Integration of balance sheets to be effective from April 1; bank boards to meet soon to finalise the share swap ratio
496,"March 05, 2020, Thursday","HDFC cuts lending rate by 5 bps for salaried people, effective from March 9","HDFC cuts lending rate by 5 bps for salaried people, effective from March 9"
497,"March 05, 2020, Thursday",Coronavirus: Irdai asks insurers to design products covering treatment cost,"The regulator has also made it clear that in existing products where the cost of hospitalisation is covered, insurers have to ..."
498,"March 04, 2020, Wednesday",HDFC Bank recasts panel to find Puri's successor; Mistry replaced by Karnad,Keki Mistry has been replaced by Renu Karnad of the bank's parent HDFC in the search panel
499,"March 04, 2020, Wednesday",Moody's downgrades BoB's baseline credit assessment on asset quality issues,Agency also cites deteriorating operating environment for decision; affirms lender's domestic and foreign bank deposit ratings
500,"March 04, 2020, Wednesday",YES Bank in talks with mutual funds for raising up to $500 million,"If the private bank is able to raise funds in this round, it would get some breathing space"
501,"March 04, 2020, Wednesday",FM Sitharaman introduces bill that aims to prevent a PMC Bank-like crisis,"The Banking Regulation (Amendment) Bill, 2020, which comes in the backdrop of PMC Bank scam, seeks to strengthen co-operative ..."
502,"March 04, 2020, Wednesday",Digit Insurance comes up with cover amid deadly coronavirus spread,The maximum coverage that the product assures is to the tune of Rs 2 lakh
503,"March 04, 2020, Wednesday","PNB Housing Finance to raise Rs 1,700 crore in equity through QIP","The housing finance company, however, did not specify timing for the QIP offering"
504,"March 03, 2020, Tuesday","Monitoring coronavirus impact on markets, ready to take action: RBI",The outbreak of coronavirus and subsequent spread to geographies across the world has adversely affected the financial markets
505,"March 03, 2020, Tuesday","Banks to lend Rs 1.85 trn to housing, auto, MSMEs in next 6 months",The recently conducted Long Term Repo Operations (LTRO) by RBI are aimed at providing additional durable liquidity to the Banking ...
506,"March 03, 2020, Tuesday",Maha Bank to raise up to Rs 600 cr via bonds on private placement basis,"To comply with Basel-III Capital Regulations, banks need to improve and strengthen their capital planning processes"
507,"March 03, 2020, Tuesday",Why foreign lenders are rushing to invest in Indian retail banking space,"Easing regulations and a surge in online banking are driving the change, with several overseas lenders increasing investment ..."
508,"March 02, 2020, Monday",RBI nudges public sector banks to take steps to increase credit growth,Bank credit growth declined to 8.5 per cent in January from 13.5 per cent in the year-ago period
509,"March 02, 2020, Monday","Post merger, Allahabad and Indian Bank to have 10,000 branches in 2 years","At the end of December 2019, the total business of Allahabad Bank was close to Rs 3.94 trillion, while that of Indian Bank was ..."
510,"March 01, 2020, Sunday",Bank credit growth dips to 8.5% in January from 13.5% year-ago: RBI data,Growth in advances to the services sector decelerated to 8.9 per cent from 23.9 per cent in January 2019
511,"February 29, 2020, Saturday",Unions defer 3-day strike as banks raise pay hike offer to 15% from 12.5%,Banking unions had given a call for a three-day strike from March 11
512,"February 29, 2020, Saturday",Allahabad Bank lowers interest rate on external benchmark-linked products,"While the RBI's repo rate remains unchanged at 5.15 per cent, the three-month MIBOR (Average) has reduced to 5.75% from 6.15%"
513,"February 28, 2020, Friday","Analysts expect RBI to cut rates on growth concerns, coronavirus scare",Analysts expect an impact on India due to raw material shortages likely to disrupt supplies for key industries
514,"February 28, 2020, Friday",SBI expects corporate credit offtake growth between 5 to 7% during Q4,"Sectors like thermal power, NBFCs and commercial real estate sector are currently facing some stress"
515,"February 28, 2020, Friday","SBI sees green shoots in roads, city gas distribution and renewable sectors","PSUs seen as drivers of credit demand, which the bank sees growing by 5-7%; No major impact of coronavirus yet"
516,"February 27, 2020, Thursday",Sumant Kathpalia succeeds Romesh Sobti as IndusInd Bank MD & CEO,"Kathpalia will succeed current MD & CEO Romesh Sobti, who has been at the helm of affairs for over a decade now. Sobti's term as ..."
517,"February 27, 2020, Thursday","IBA, United Forum of Bank Unions to meet on Saturday to close wage pact","The talks come just ahead of the mergers of four sets of state-run banks, effective from April 1"
518,"February 27, 2020, Thursday",PFRDA chief mulls separate trust to manage private sector pension funds,Many other pension schemes in the market currently are unregulated
519,"February 27, 2020, Thursday",Sebi amends the guidelines for intermediaries operating at GIFT City,"Besides, the watchdog has changed the guidelines for reporting of financial statements by issuers listing their debt securities ..."
520,"February 27, 2020, Thursday",India Post Payments Bank reaches milestone of 20 million customers,"On average, IPPB has been opening and maintaining a run rate of 33 lakh accounts per quarter."
521,"February 27, 2020, Thursday","Axis Bank appoints Puneet Sharma as CFO, to take charge from March 6","Axis Bank on Thursday said its board has approved appointment of Puneet Sharma as Chief Financial Officer (CFO).
His appointment ..."
522,"February 27, 2020, Thursday",IndusInd Bank CEO race gets interesting as Tata Capital's Sabharwal enters,No other bank in the country has almost its entire top brass so closely associated with its helmsman throughout the larger part ...
523,"February 26, 2020, Wednesday","Merger of public sector banks on schedule, says Nirmala Sitharaman","But in a meeting with the brass, Sitharaman didn't discuss the merger process,said a banker"
524,"February 26, 2020, Wednesday","BS Insurance Round Table 2020: Predatory pricing slammed, sandbox lauded","Fighting for market share via outpricing is lazy; industry should revisit the way it looks at the customer, offer better claim ..."
525,"February 26, 2020, Wednesday",Loans for medium enterprises must be linked to external benchmarks: RBI,"With respect to micro and small enterprises, floating rate loans are already linked with external benchmarks"
526,"February 26, 2020, Wednesday","Merger of public sector banks on schedule, says Nirmala Sitharaman","""We are on the course on bank mergers... lot of core banking operations regarding the merger are currently going on"""
527,"February 26, 2020, Wednesday",Bandhan Bank to add 250 banking outlets by the end of this financial year,"Move follows relaxation given by RBI to expand network. Earlier, the regulator had imposed curbs on lender for not meeting ..."
528,"February 26, 2020, Wednesday","Hit by technical glitch for 12 hrs, RTGS, NEFT transactions restored at RBI",Transactions via NEFT and RTGS were affected for almost 12 hours beginning Monday midnight
529,"February 26, 2020, Wednesday","Gross credit offtake may see a 200-300 bps rise in FY21, says CRISIL","Bank loans to corporate houses, excluding bank loans to NBFCs, is expected to remain subdued in FY20"
530,"February 26, 2020, Wednesday",Simplex Projects case: Bank of Baroda moves SC against Calcutta HC's order,The matter pertains to a bank guarantee of Rs 6.97 crore furnished by BoB to Indian Oil Corporation (IOC) on behalf of Simplex ...
531,"February 25, 2020, Tuesday","Explained in 3 charts: Environment remains challenging for NBFCs, MSMEs",RBI has announced an extension of the one-time restructuring scheme for MSMEs
532,"February 25, 2020, Tuesday",Time to review BR Act as pvt banks struggle for top independent directors,Private banks are struggling to get top-class independent directors on their boards
533,"February 25, 2020, Tuesday","Bandhan Bank gets RBI relief on opening of branches, subject to conditions","The bank has been allowed to open new branches, provided 25% of all new banking outlets opened in a financial year are in ..."
534,"February 25, 2020, Tuesday",RBI announces 2 LTROs for three-year tenors worth Rs 250 bn in March,"The reversal date of LTRO on March 2, 2020 is March 1, 2023 while for LTRO to be conducted on March 9, 2020, it will be March 7, ..."
535,"February 25, 2020, Tuesday","Soon, you will be charged even for failed transactions at Axis Bank ATMs",The proposed fee will be Rs 25 per transaction; the bank has uploaded a notice on its website listing this and three other ...
536,"February 25, 2020, Tuesday",Assam continues to be a pain point for MFIs as defaults remain high,"The portfolio at risk (PAR) for the industry for repayment between 31 and 180 days stood at 1.5 per cent, which was 50 per cent ..."
537,"February 25, 2020, Tuesday",Asian Development Bank lists masala bonds worth Rs 850 crore on India INX,ADB's masala bonds are listed on both Luxembourg exchange and India INX
538,"February 25, 2020, Tuesday","HDFC Bank aims to become go-to bank for start-ups with grants, platforms","HDFC Bank aims to be a dominant and
go-to bank for startups, a key official said on Tuesday.
Close to 9,000 start-ups are ..."
539,"February 24, 2020, Monday","RBI receives Rs 1.23-trn bid for Rs 25,000-cr long-term repo operations","In the auction for three-year maturity liquidity operations made last week, the RBI had received bids worth Rs 1.94 trillion for ..."
540,"February 24, 2020, Monday",SBI stock basking in optimism; stakes too high to disappoint investors,Optimism on the stock is highest in 15 years; easing of corporate sector stress in Q3 gave the much-needed comfort
541,"February 24, 2020, Monday","Banks facing slow credit offtake, flow to realty needs to improve: RBI Guv","Real estate developers, battling a prolonged slowdown in demand, are struggling to raise funds to construct or complete projects"
542,"February 24, 2020, Monday",CRISIL downgrades PNB Housing Finance's deposits rating to 'AA+' from 'AAA',PNB Housing's fund-raising ability has remained intact over the last 6-9 months and it is continuing to maintain high on-balance ...
543,"February 23, 2020, Sunday",Time for Int'l community to build new tax regime embracing digitization: FM,The finance minister emphasised on the need for a closer collaboration between revenue agencies to investigate tax affairs of ...
544,"February 23, 2020, Sunday","Rs 22,000 cr investments made in Andhra Pradesh since June 2019: State govt","Though oil giant Saudi Aramco was supposed to be a largest investor, particularly in the PCPIR in Visakhapatnam, it went away to ..."
545,"February 23, 2020, Sunday",Mega bank consolidation: Meeting April 1 deadline appears challenging,"Even after Cabinet approval to the proposed mega merger plan, officials said, fixation of share swap ratio, shareholders consent ..."
546,"February 22, 2020, Saturday","SBI to hold mega e-auction for 1,000 stressed assets to recover dues",The bank published the advertisement for the proposed auction in newspapers as well as the social media
547,"February 22, 2020, Saturday",Efforts of banks under PCA framework being monitored: RBI Governor,"Currently, Indian Overseas Bank (IOB), Central Bank of India, UCO Bank and United Bank of India are under this framework"
548,"February 22, 2020, Saturday","Customers will no longer get Rs 2,000 currency notes at Indian Bank ATMs","According to a circular issued by the lender's digital banking division on February 17, cash dispensation from Rs 2,000 currency ..."
549,"February 21, 2020, Friday",IDFC First Bank to raise up to Rs 2000 cr in tier-II debt capital via bonds,Funded assets of the bank rose marginally to Rs 1.06 trillion in December 2019 from Rs 1.04 trillion a year ago
550,"February 21, 2020, Friday","Ahead of IPO, SBI Cards sees fintechs, UPI as formidable competition",SBI Cards expects competition to intensify in future
551,"February 21, 2020, Friday",Larger balance sheet helps you give bigger loans: Indian Bank's Chunduru,"'Indian Bank is strong in terms of business correspondents', said Chunduru"
552,"February 21, 2020, Friday",RBI unveils 5-yr financial inclusion strategy: Here're key recommendations,"Under the national strategy, the committee has recommended new entrants to the financial system - eligible and willing to undergo ..."
553,"February 20, 2020, Thursday",IL&FS to seek lenders' approval for road asset sales through e-voting,The bid validity for five projects is set to expire on February 29
554,"February 20, 2020, Thursday",Axis Bank in talks to acquire significant stake in Max Life Insurance,Private sector lender Axis Bank has entered into an exclusive agreement with Max Financial Services and Max Life Insurance to ...
555,"February 20, 2020, Thursday",HDFC Bank SME loan book doubles to Rs 1.48 trillion by December 2019,"According to the RBI data, the system-wide SME loan book stood at Rs 15.7 trillion as of June 2019, up 10 per cent over the 12 ..."
556,"February 20, 2020, Thursday",RBI approves Sunil Gurbaxani's appointment as Dhanlaxmi Bank MD and CEO,Gurbaxani is working with Axis Bank at present.
557,"February 20, 2020, Thursday","Centre releases Rs 19950 cr GST compensation to states, total at Rs 1.2 trn","In a statement, the finance ministry said Rs 19,950 crore was released to states and union territories on last Monday"
558,"February 20, 2020, Thursday","RBI monetary policy committee torn between growth concerns, inflation fears",The MPC is mandated to keep inflation in a range of between 2% and 6% and recent data showed the retail inflation rate in January ...
559,"February 20, 2020, Thursday",Raising insurance coverage to 90% to help exporters cut cost: SBI chief,"He also said the collateral gives some comfort to bankers while giving finance to exporters, but in terms of recoveries they are ..."
560,"February 20, 2020, Thursday",Axis Bank to explore possibility of strategic partnership with Max Life,Max Life is currently the largest non-bank owned private life insurer in India
561,"February 19, 2020, Wednesday","MPs' panel for dilution of default definition, but RBI flags concerns",The commercial or debt paper is the favourite route of corporates to raise funds when compared with loans from banks. They help ...
562,"February 19, 2020, Wednesday",Challenges galore for financial institutions amid liquidity crunch: Fitch,"The rating agency expects the real GDP growth to slow to 4.6 per cent in 2019-20 from 6.8 per cent in 2018-19, led by a squeeze ..."
563,"February 19, 2020, Wednesday","Kotak Mahindra Bank promoters get RBI nod to cap voting rights, pare stake","Promoters' voting rights would stand curtailed to 20% until March, and reduce further to 15% from April"
564,"February 19, 2020, Wednesday","HSBC India profit crosses $1 bn in 2019, third-most profitable in Asia","The global banking and markets segment contributed to $466 million in profits, against $387 million in 2018."
565,"February 19, 2020, Wednesday","PFC-REC merger stuck, Centre reaching out to PSUs to pick up stake",One major obstacle is that the direct stake of the Centre will fall below 51% after the merger
566,"February 18, 2020, Tuesday","MFIs disbursed Rs 63,968 cr in Q3; banks lead with 40% market share","Banks continued to lead, with 40% of the industry's market share"
567,"February 18, 2020, Tuesday","HSBC plans to slash 35,000 jobs after profits slid by a third last year",The Asia-focused lender has been trying to lower costs as it faces a multitude of uncertainties caused by the grinding US-China ...
568,"February 18, 2020, Tuesday",Double trouble: PMC Bank asked to deduct TDS on notional interest paid,CBDT asks lender to deduct tax at source on notional interest paid
569,"February 17, 2020, Monday",RBI's maiden long-term repo operation receives Rs 1.94-trillion bids,The allotment was done for all bids on a pro-rata basis
570,"February 17, 2020, Monday",LIC's gross NPA ratio in debt portfolio rises to 7.5% in December,The gross NPA ratio of LIC in the debt portfolio at the end of September 2019 stood at 6.10%
571,"February 17, 2020, Monday",Calcutta HC asks RBI to take appropriate action against Bank of Baroda,The oil company told the court that it had entered into an agreement with Simplex Projects Limited in 2017 for undertaking ...
572,"February 16, 2020, Sunday","Govt to pump Rs 1,300 cr in Exim Bank next fiscal to drive business growth","Established in 1982, Exim Bank is the apex financial institution for financing, facilitating and promoting the country's ..."
573,"February 16, 2020, Sunday","Finance Commission recommends Rs 19,309 cr devolution to Himachal for FY20","The average annual grant under was increased by Modi to Rs 14,407 crore in 14th Finance Commission and now to Rs 19,309 crore in ..."
574,"February 15, 2020, Saturday",Lenders will suffer if any enterprise shuts down: SBI chief Rajnish Kumar,The SBI chairman said the bank was in the wait-and-watch mode
575,"February 15, 2020, Saturday",RBI Governor expects transmission of rate cuts to improve further,"Earlier this month, the central bank opted for a status quo on the benchmark interest rate, amid signs of hardening inflation and ..."
576,"February 14, 2020, Friday",Banks' loans rise over 7% in two weeks to January 31: RBI report,Non-food credit rose Rs 1.02 trillion to Rs 100.24 trillion
577,"February 14, 2020, Friday","IOB to focus on MSME, will increase lending to Rs 50,000 cr: Official","Laying more focus on MSME segment, IOB would increase its lending to the sector from the present Rs 31,000 cr to Rs 50,000 cr in ..."
578,"February 14, 2020, Friday",Common portal for health insurance claim settlements on the cards,Regulator aims to usher time-bound settlement of claims and eliminate disparity in charges among different for some common ...
579,"February 13, 2020, Thursday",Long-term repo operations will be conducted on fixed-rate basis: RBI,The monetary authority also clarified that the interest on these repos will be compounded on an annual basis and will be ...
580,"February 13, 2020, Thursday",SBI's Arijit Basu backs oversight on banks without probe agency overreach,"Talking about the current levels of non-performing assets, Basu said banks should have been cautious in some cases"
581,"February 13, 2020, Thursday",18 PSBs hit by fraud cases of Rs 1.17 trn in Apr-Dec of FY20: RTI,"SBI reported 4,769 cases of banking frauds worth Rs 30,300 crore during the nine-month period"
582,"February 13, 2020, Thursday",RBI's new asset recognition norms credit negative for banks: Moody's,"Last week, the RBI harmonised guidelines for deferment of date of commencement of commercial operations (DCCO) for projects in ..."
583,"February 12, 2020, Wednesday",Advisory Council of 15th Finance Commission to meet on Thursday,"The meeting will be chaired by chairman of the Commission, N K Singh, and will be attended by its members including A N Jha, ..."
584,"February 12, 2020, Wednesday",IOB expects to be profitable in Q4 FY20 after being in red for four years,"In third-quarter results announced earlier this week, the bank said it plans to come out of PCA by focusing on recovery, low-cost ..."
585,"February 12, 2020, Wednesday",India Ratings downgrades Yes Bank issuer rating from 'A' to 'A-',This is the third downgrade of the private sector lender by Ind-Ra in last one year - which could adversely impact the bank's ...
586,"February 12, 2020, Wednesday",Dec quarter shows much-needed improvement in asset quality for PSU banks,"Slippages ratio for FY20 pegged at 3.5 per cent a tad lower than previous year's 3.7 per cent, but MSMEs, agri and retail are ..."
587,"February 12, 2020, Wednesday",P2P lending achieves 10-fold growth with returns as high as 25% in 1 year,Some of the players in the sectors are themselves wary of this unregulated interest rate regime
588,"February 12, 2020, Wednesday",Banks should 'deeply involve' those brought into financial system: Kovind,"""The challenge before us is to deeply involve those included. I would urge all of you to think of financial products that meet ..."
589,"February 12, 2020, Wednesday","City Union Bank Q3 PBT dips marginally to Rs 227.43 crore, income up 11%",Gross and net non-performing assets rise
590,"February 12, 2020, Wednesday",Falling deposits are the latest problem for Yes Bank after bad loans,The lender issued a statement last month assuring customers about its liquidity and stability and said it is making every effort ...
591,"February 11, 2020, Tuesday",The hunt for directors' special: Tough for UCBs to form board of management,Senior officials in UCBs say the central bank has not been practical in its approach
592,"February 11, 2020, Tuesday",Succession plan is often ill-executed,"Most firms lack proper in-house succession planning; and often don't spend enough time, energy and resources in planning for the ..."
593,"February 11, 2020, Tuesday","IDBI Bank Q3 PBT at Rs 756 cr on higher NII, dip in NPA provisions",Lender posts net loss on one-time hit as it opts for lower tax rate
594,"February 11, 2020, Tuesday",PNB clarifies no proposal for changing bank's name after UBI flags issue,This statement comes days after a UBI official said that the government is expected to announce the new name and logo of the ...
595,"February 11, 2020, Tuesday",Allahabad Bank posts Q3 loss of Rs 1986 cr over higher agri provisions,"The bank was asked by RBI to revisit restructured agriculture accounts, which led to higher recognition of NPA in the sector"
596,"February 10, 2020, Monday","Banks to get 5-year CRR relief for lending to auto, housing, MSMEs","While home finance can go for a longer period, and vehicle finance loans can reach seven years, analysts say five years is a good ..."
597,"February 10, 2020, Monday",Lending from Cash Reserve Ratio buffer to get 5-year exemption: RBI,This means that banks will not be needed to make additional cash reserve ratio against any incremental loans disbursed to the ...
598,"February 10, 2020, Monday","IOB Q3 net loss widens to Rs 6,075 cr on higher bad loan provisioning",The bank had registered a net loss of Rs 346.02 crore during the corresponding October-December period of 2018-19
599,"February 10, 2020, Monday",Union Bank Q3 PBT up over three fold to Rs 582 cr on dip in NPA provision,"Better number also aided by NII, which saw an uptick of 25.7%"
600,"February 10, 2020, Monday","Easier RBI asset quality norms puts banks at risk, mar transparency: Fitch",The new rules signal a shift away from enhancing asset classification
601,"February 10, 2020, Monday","IL&FS gets approval for claims towards Rs 2,700 crore stalled road projects",The NHAI Conciliation Committee recently approved a claim for approximately Rs 707 crore for the ILFS-Fagne Songadh Expressway ...
602,"February 10, 2020, Monday","IOB Q3 loss widens almost 10-fold to RS 5,901 cr on massive provisioning","Fresh slippage at Rs 1,647.82 cr; year-ago loss was Rs 609 cr"
603,"February 10, 2020, Monday","Bank of Baroda cuts MCLR by up to 10 bps; home, auto loans to get cheaper","With this reduction, the one-year MCLR has come down to 8.15 per cent per annum from 8.25 per cent, according to a bank ..."
604,"February 10, 2020, Monday",RBI 'reminds' banks on need to make additional provisioning for telco loans,Follow spirit of April 2017 communique with reference to sector
605,"February 09, 2020, Sunday",Further consolidation or merger of banks will depend on need: Anurag Thakur,"'We have successfully done the mergers and recapitalisation of the banks', said Thakur"
606,"February 09, 2020, Sunday","PSU banks adequately capitalised, may see enhanced profits: CEA Subramanian","Recently Punjab National Bank got board approval to raise Rs 1,000 crore from market through bonds"
607,"February 09, 2020, Sunday","Govt wants continuous engagement with businesses, industries: FM Sitharaman","She said the Centre has introduced some features in the budget like ""faceless appeals and sorting out of problems while imparting ..."
608,"February 09, 2020, Sunday","Importers, exporters to mandatorily declare GSTIN in documents from Feb 15",While importers are paying IGST on imports but not claiming credit for the same. This essentially means that the supply of ...
609,"February 09, 2020, Sunday","12% tax revenue growth achievable in 2020-21 fiscal, says Revenue Secy","The 2020-21 Budget has pegged gross tax revenues for 2020-21 at Rs 24.23 trillion, up 12 per cent from Rs 21.63 trillion in the ..."
610,"February 08, 2020, Saturday","YES Bank shareholders approve raising Rs 10,000 crore through equity","At an extraordinary general meeting, investors approved a resolution to increase authorised share capital from Rs 800 crore to Rs ..."
611,"February 07, 2020, Friday",PNB chief expects a comeback in FY21 with 8-10% credit growth post merger,"Merged entity likely to report 8-10% credit growth, better asset quality next fiscal; equity offering by December"
612,"February 07, 2020, Friday","Govt to soon unveil name, logo of merged entity of UBI, PNB, OBC: Official",The Centre will soon announce the  new name and logo of the entity to be emerged after the merger  of Punjab National Bank (PNB) ...
613,"February 07, 2020, Friday","Corporation Bank Q3 net jumps 7-fold to Rs 421cr, gross NPA at Rs 19,557 cr","Income increased to Rs 6,051.93 crore, from Rs 4,112.29 crore. On a standalone basis, the net profit increased to Rs 420.68 crore ..."
614,"February 07, 2020, Friday",SC stays Bombay HC order to sell HDIL assets and repay PMC bank dues,A bench comprising Chief Justice S A Bobe and justices B R Gavai and Surya Kant took note of the appeal of the Reserve Bank of ...
615,"February 07, 2020, Friday","SBI cuts MCLR for ninth straight month making auto, home loans cheaper",The bank also reduced interest rate on term deposits - retail and bulk - by 10-50 basis points (bps) across various tenors
616,"February 07, 2020, Friday",UCO Bank reports Rs 960-crore loss before tax in December quarter,Gross non-performing assets as a percentage of lending stood at 19.45 per cent at the end of Q3FY20
617,"February 07, 2020, Friday","DBS, Capri Global among suitors for cash-strapped Lakshmi Vilas Bank",LVB's financials deteriorated to 5.56 per cent capital adequacy and 21.25 per cent gross NPA ratio in the September 2019 quarter
618,"February 06, 2020, Thursday",India should double credit growth to 15% for $5 trn economy by '25: Bankers,"The country has recorded high double-digit credit growth in the past and is capable of achieving similar growth now as well, they ..."
619,"February 06, 2020, Thursday",High inflation restricts RBI from choosing non-rate tools to support growth,"Earlier, the RBI decided to hold rates as widely expected and affirmed to stick to the accommodatory stance for as long as it is ..."
620,"February 06, 2020, Thursday",UCO Bank Q3 net loss narrows to Rs 960 cr; ratio of bad loans remains high,The Kolkata-based bank had reported a net loss of Rs 998.74 crore during the corresponding October-December period of the ...
621,"February 06, 2020, Thursday","United Bank of India posts PBT of Rs 129 crore in Q3, gross NPA at 15.48%",The gross NPA of the bank as a percentage of total lending stood at 15.48 per cent
622,"February 06, 2020, Thursday","Bankers, analysts welcome RBI's liquidity boosting policy measures",The market has taken the long-term repos worth Rs 1 trillion as the biggest developmental and regulatory step that came out of ...
623,"February 06, 2020, Thursday",Merger process major challenge for PSBs in near future: SBI Chairman,"In August last year, Finance Minister Nirmala Sitharaman had announced merger of 10 banks"
624,"February 06, 2020, Thursday",Hike in deposit insurance cover will not hit banks' balance-sheets: RBI,The Reserve Bank does not see any major impact on the balance-sheets of banks due to the five-fold hike in deposit insurance to ...
625,"February 06, 2020, Thursday",Rs 1 trillion repos to help better monetary policy transmission: RBI,The RBI has cumulatively cut the repo rate by 135 basis since February 2019 to a nine-year low of 5.15 per cent
626,"February 06, 2020, Thursday","YES Bank picks IDFC Securities, Cantor Fitzgerald, Ambit to raise $2 bn","Cantor Fitzgerald is led by Anshu Jain, the former co-CEO of Deutsche Bank AG"
627,"February 05, 2020, Wednesday","Onus on RBI to do heavy lifting, cut rates to boost growth: HDFC Bank","Going forward, we think that the scales could tip in the favour of growth as soon as inflation prints become more palatable,"" the ..."
628,"February 05, 2020, Wednesday",Cabinet likely to approve mergers of 10 public sector banks into 4 today,"This will be the biggest merger exercise of PSBs, which was announced by Finance Minister Nirmala Sitharaman in August 2019"
629,"February 04, 2020, Tuesday",Oriental Bank CEO asks FinMin to give a new name for newly merged entity,"If the bank formed after amalgamation is not given a separate name, people would feel that OBC and UBI merged into PNB"
630,"February 04, 2020, Tuesday",Enhanced insurance cover of Rs 5 lakh on bank deposits from Tuesday: RBI,"The cover is provided by the Deposit Insurance and Credit Guarantee Corporation (DICGC), a wholly-owned subsidiary of the RBI"
631,"February 04, 2020, Tuesday",Pramod Kumar Singh appointed wholetime member of pension fund regulator,He is at present Competition Commission of India (CCI) secretary
632,"February 04, 2020, Tuesday",Fairfax-backed CSB Bank's Q3 PBT increases multiple fold to Rs 42.4 cr,Net NPA which was 3.7 per cent last year third quarter dropped to 2 per cent during the current fiscal
633,"February 04, 2020, Tuesday",Crisil report warns of high stress in non-banking lenders' wholesale book,Rating agency Crisil on Tuesday warned of potentially high stress in non-banking lenders' wholesale book well above the reported ...
634,"February 04, 2020, Tuesday",Maharashtra Co-op Bank writes to FM seeking branch merger of PMC Bank,"At present, the bank is returning excess capital to the district banks which are its members"
635,"February 04, 2020, Tuesday","Bank frauds decline to Rs 5,244 cr annually on improved detection: Govt","Bank frauds reduced significantly from Rs 38,548 crore in the 2016-17 fiscal to Rs 16,084 crore in 2017-18 fiscal"
636,"February 03, 2020, Monday",IDBI Bank raises capital worth Rs 745 cr via tier-II bonds after 2 years,Bank officials said the money raised through tier II bond offering is expected to increase Capital Adequacy Ratio (CAR) by about ...
637,"February 03, 2020, Monday","Banks credit grows by 7.21%, deposits by 9.51%: RBI data",Non-food bank credit growth decelerated to 7 per cent in December 2019 from 12.8 per cent in December 2018
638,"February 03, 2020, Monday",PNB seeks IRDAI forbearance for paring stake in Canara HSBC OBC Life,"State-owned Punjab National Bank is seeking IRDAI forbearance on cutting down stake in Canara HSBC OBC Life Insurance, which will ..."
639,"February 01, 2020, Saturday",Nationwide strike impacts banking services for second day at PSBs,"However, private sector lenders like ICICI Bank and HDFC Bank were operational"
640,"February 01, 2020, Saturday",Budget 2020: Govt may introduce programme to buy NBFCs' stressed assets,"The government is likely to unveil, in the Union Budget 2020, a Troubled Assets Relief Programme (TARP) similar to what the US ..."
641,"February 01, 2020, Saturday",India must have at least six banks in top 100 global list: Economic Survey,Equity markets also discount PSBs
642,"January 31, 2020, Friday",Non-food credit growth slides to 7% in Dec 19 from 12.8% a year ago,"All four categories - agriculture, industry, services and retail - segments showed deceleration in credit growth"
643,"January 31, 2020, Friday","Bank of India posts Q3 PBT of Rs 119 cr after Rs 6,700 cr loss a year ago","Net interest income up 24% to Rs 4,118 cr; GNPAs at same level as last year"
644,"January 30, 2020, Thursday","Bank unions reject IBA's 15% wage hike offer, to go ahead with 2-day strike","IBA offered a 15 per cent hike in wages, a revision over previous offer of 12.5 per cent at bilateral meeting of bank and trade ..."
645,"January 30, 2020, Thursday",PSU bank employees to go on two-day strike from Friday over wage revision,"Earlier this week, a meeting with the Chief Labour Commissioner remained inconclusive, AIBOC President Sunil Kumar said"
646,"January 30, 2020, Thursday","Agriculture, small biz, retail loans to be a concern for banks in FY21",The RBI has also estimated a dip in stress at its bi-yearly stability report in December
647,"January 30, 2020, Thursday","RBI accepts Kotak Bank promoters' plan to cap voting rights, reduce stake",Private lender withdraws writ petition from Bombay High Court
